CVE_HOM_ACUIFERO,NOMBRE DE ACUÍFERO HOMOLOGADO
3223,GUADALUPE DE LAS CORRIENTES
0810,SAMALAYUCA
2601,VALLE DE SAN LUIS RÍO COLORADO
2617,PUERTO LIBERTAD
1313,ACTOPAN-SANTIAGO DE ANAYA
2009,RÍO VERDE-EJUTLA
0327,TEPENTÚ
1433,CIHUATLÁN
1005,MADERO-VICTORIA
0209,LAGUNA SALADA
1009,MATALOTES-EL ORO
0813,LAGUNA TRES CASTILLOS
1622,COTIJA
0320,SANTIAGO
0329,SAN JUAN B. LONDÓ
0314,EL PESCADERO
0331,BAHÍA CONCEPCIÓN
0851,RANCHO EL ASTILLERO
1612,HUETAMO
1029,REVOLUCIÓN
0504,CUATROCIÉNEGAS-OCAMPO
0501,ALLENDE-PIEDRAS NEGRAS
3205,JERÉZ
1018,PEÑÓN BLANCO
1905,AGUALEGUAS-RAMONES
0521,SALTILLO SUR
3012,COSTERA DE COATZACOALCOS
1020,SANTA CLARA
0246,SAN SIMÓN
1914,CITRÍCOLA SUR
1909,CAMPO DURAZNO
1915,SOTO LA MARINA
3007,ORIZABA-CÓRDOBA
2004,JAMILTEPEC
0103,EL LLANO
2661,CUMPAS
2641,COCORAQUE
0221,SAN QUINTÍN
2211,TAMPAÓN-ZONA DE SIERRA
1435,AMATITÁN
3210,BENITO JUÁREZ
1505,VILLA VICTORIA-VALLE DE BRAVO
1901,LAMPAZOS-VILLALDAMA
1444,SAN DIEGO DE ALEJANDRÍA
1421,TAPALPA
0843,BOCOYNA
0711,ARRIAGA-PIJIJIAPAN
0528,CUATROCIÉNEGAS
2008,OSTUTA
2701,HUIMANGUILLO
1317,VALLE DE TULANCINGO
2811,LLERA-XICOTÉNCATL
2105,VALLE DE TEHUACÁN
1101,XICHÚ-ATARJEA
1430,LA HUERTA
0245,ROSARITO
0603,ARMERÍA-TECOMÁN-PERIQUILLOS
2633,RÍO MOCTEZUMA
2606,LOS CHIRRIONES
3224,PUERTO MADERO
3228,LA BLANCA
1415,JALOSTOTITLÁN
2803,HIDALGO-VILLAGRÁN
2409,VILLA HIDALGO
2207,TOLIMÁN
2802,MÉNDEZ-SAN FERNANDO
0519,CASTAÑOS
0852,LAGUNA DE JACO
1414,TEPATITLÁN
3209,JALPA-JUCHIPILA
0328,LORETO
1307,HUICHAPAN-TECOZAUTLA
1315,HUASCA-ZOQUITAL
2209,VALLE DE AMEALCO
0301,PUNTA EUGENIA
1604,LAGUNILLAS PÁTZCUARO
2623,SANTA ROSALÍA
0210,VALLE DE MEXICALI
0322,EL CARRIZAL
2629,RÍO AGUA PRIETA
1506,CHALCO-AMECAMECA
0305,MEZQUITAL SECO
1801,VALLE ACAPONETA-CAÑAS
1004,VICENTE GUERRERO-POANAS
2505,RÍO SAN LORENZO
0309,EL CONEJO-LOS VIEJOS
0203,EL DESCANSO
0213,SANTO TOMÁS
1305,ATLAPEXCO-CANDELARIA
0211,ENSENADA
1445,SAN JOSÉ DE LAS PILAS
1605,PASTOR ORTÍZ-LA PIEDAD
1615,LA HUACANA
2206,VALLE DE CADEREYTA
1503,POLOTITLÁN
1314,MEZTITLÁN
2509,RÍO PRESIDIO
3227,GUADALUPE BAÑUELOS
3220,GUADALUPE GARZARÓN
2646,ROSARIO-TESOPACO-EL QUIRIEGO
1903,LAMPAZOS-ANÁHUAC
2414,CERRITOS-VILLA JUÁREZ
2610,COYOTILLO
2619,COSTA DE HERMOSILLO
0838,ALTO RÍO SAN PEDRO
2604,ARROYO SAHUARO
1320,ÁPAN
1301,ZIMAPÁN
1807,VALLE DE BANDERAS
0308,LAS POCITAS-SAN HILARIO
2639,RÍO TECORIPA
1810,VALLE AMATLÁN DE CAÑAS
0520,LAGUNA DEL REY-SIERRA MOJADA
2609,BUSANI
2605,CABORCA
2635,VALLE DE GUAYMAS
1429,TIZAPÁN
2627,RÍO BACOACHI
2018,PINOTEPA NACIONAL
0702,REFORMA
2650,NOGALES
0609,SANTIAGO-SALAGUA
1230,PAPAGAYO
2607,ARROYO SECO
3004,PEROTE-ZALAYETA
0333,SAN MARCOS-PALO VERDE
1418,UNIÓN DE TULA
2603,SONOYTA-PUERTO PEÑASCO
